ts_us,channel,len,rssi,mac_hash,eapol,head
144543755,1,204,-81,8c6255171cd63f97,0,50083a01de1abb51597732823d9fc366
144562066,1,204,-80,8c6255171cd63f97,0,50083a01de1abb51597732823d9fc366
144580385,1,246,-87,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
144598696,1,204,-88,8c6255171cd63f97,0,50083a01de1abb51597732823d9fc366
144617011,1,204,-81,8c6255171cd63f97,0,50083a01de1abb51597732823d9fc366
144635325,1,204,-81,8c6255171cd63f97,0,50083a01de1abb51597732823d9fc366
144653640,1,204,-81,8c6255171cd63f97,0,50083a01de1abb51597732823d9fc366
144671951,1,210,-80,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
144690267,1,246,-80,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
144708990,6,50,-90,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
144726722,6,50,-90,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
144744860,6,299,-91,96b3ab5cc084de91,0,80000000ffffffffffffc60b8515ddee
144763178,6,50,-89,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
144781315,6,210,-68,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
144799634,6,246,-68,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
144817945,6,250,-68,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
144836261,6,50,-88,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
144854400,6,106,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
144872717,6,106,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
144891432,6,118,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
144909340,6,210,-68,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
144927655,6,246,-68,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
144945974,6,118,-87,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
144964284,6,250,-67,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
144982599,6,118,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
145000911,6,118,-85,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
145019229,6,118,-86,a8e68be227b73f34,0,884a24001c4d89def1f20cefafc31644
145037543,6,50,-89,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
145055682,6,118,-86,a8e68be227b73f34,0,884a24001c4d89def1f20cefafc31644
145074404,6,106,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
145092312,6,106,-86,a8e68be227b73f34,0,884a24001c4d89def1f20cefafc31644
145110624,6,204,-67,f2699bba2ba23cf1,0,50003a0170ce8c6f71bc32823d9fb346
145128939,6,204,-67,f2699bba2ba23cf1,0,50083a0170ce8c6f71bc32823d9fb346
145147253,6,106,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
145165570,6,204,-68,f2699bba2ba23cf1,0,50083a0170ce8c6f71bc32823d9fb346
145183880,6,106,-86,a8e68be227b73f34,0,884a24001c4d89def1f20cefafc31644
145202195,6,210,-68,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
145220507,6,246,-67,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
145238825,6,250,-68,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
145257543,6,204,-93,19116f961be33b56,0,50083a0122bc964470fa12823d9fc444
145275450,6,106,-86,a8e68be227b73f34,0,884224001c4d89def1f20cefafc31644
145293764,6,210,-67,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
145312083,6,246,-67,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
145330403,6,250,-67,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
145348708,6,204,-91,19116f961be33b56,0,50083a01dc03986c98d812823d9fc444
145367039,6,204,-94,19116f961be33b56,0,50083a01dc03986c98d812823d9fc444
145385336,6,204,-89,19116f961be33b56,0,50083a01dc03986c98d812823d9fc444
145403653,6,204,-93,19116f961be33b56,0,50083a01dc03986c98d812823d9fc444
145421963,6,204,-93,19116f961be33b56,0,50083a01dc03986c98d812823d9fc444
145441388,6,50,-90,96b3ab5cc084de91,0,d0000000ffffffffffffc60b8515ddee
145458417,6,299,-90,96b3ab5cc084de91,0,80000000ffffffffffffc60b8515ddee
145476731,6,225,-92,53d0ab6000fc9242,0,40000000ffffffffffff24e853873ef4
145495048,6,225,-87,53d0ab6000fc9242,0,40000000ffffffffffff24e853873ef4
145513360,6,225,-88,53d0ab6000fc9242,0,40000000ffffffffffff24e853873ef4
145532305,6,210,-67,f2699bba2ba23cf1,0,80000000ffffffffffff32823d9fb346
145550615,6,246,-67,76e24379c30bf675,0,80000000ffffffffffff32823d9fb347
145568932,6,250,-67,19fdc1c705a9a866,0,80000000ffffffffffff32823d9fb348
145587247,6,1023,-66,f2699bba2ba23cf1,0,082200003333000000fb32823d9fb346
145605734,6,1003,-66,f2699bba2ba23cf1,0,0802000001005e0000fb32823d9fb346
145624644,11,204,-91,dd644234cc307e42,0,50083a0156ccceb0d4aaf2823d9fb2b2
145642707,11,204,-91,dd644234cc307e42,0,50083a0156ccceb0d4aaf2823d9fb2b2
145661197,11,242,-86,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
145679685,11,204,-96,4fdaf896e88ee013,0,50003a01d2bddd131a5492823d9fb91b
145698176,11,80,-87,46bb505a1c451da3,0,40000000ffffffffffff98d863c1d1fe
145716485,11,204,-86,dd644234cc307e42,0,50003a01aaf7b4c2cf5af2823d9fb2b2
145734978,11,204,-92,dd644234cc307e42,0,50083a01aaf7b4c2cf5af2823d9fb2b2
145753462,11,204,-90,dd644234cc307e42,0,50083a01aaf7b4c2cf5af2823d9fb2b2
145771953,11,204,-90,dd644234cc307e42,0,50083a01aaf7b4c2cf5af2823d9fb2b2
145790437,11,204,-90,dd644234cc307e42,0,50083a01aaf7b4c2cf5af2823d9fb2b2
145809331,11,197,-85,95a8f4c670d2c508,0,80000000ffffffffffff203706aa96c1
145827411,11,240,-92,de44f3a3d4ded9ac,0,50003a0124e853873ef4b2823d9fb62f
145845903,11,154,-94,fc1281f54d150883,0,40000000ffffffffffff16cfbbb4072f
145864390,11,204,-91,8dee1fd767293b59,0,50003a0116cfbbb4072fb2823d9fb62e
145882877,11,204,-88,dd644234cc307e42,0,50083a0116cfbbb4072ff2823d9fb2b2
145901363,11,204,-91,8dee1fd767293b59,0,50003a0124e853873ef4b2823d9fb62e
145919854,11,204,-90,dd644234cc307e42,0,50003a0124e853873ef4f2823d9fb2b2
145938338,11,250,-87,795721b1a3baaa05,0,50003a0124e853873ef45e4449bf2c4f
145956829,11,204,-89,dd644234cc307e42,0,50083a0124e853873ef4f2823d9fb2b2
145975315,11,204,-90,dd644234cc307e42,0,50083a0124e853873ef4f2823d9fb2b2
145994211,11,197,-86,95a8f4c670d2c508,0,80000000ffffffffffff203706aa96c1
146012288,11,249,-86,7e17d63142a43844,0,80000000ffffffffffff203706aa96c3
146030778,11,242,-86,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
146049265,11,210,-90,dd644234cc307e42,0,80000000fffffffffffff2823d9fb2b2
146067757,11,256,-90,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
146086243,11,87,-94,91e0c02a9c213a80,0,40000000ffffffffffff6a3057151bde
146104557,11,236,-86,525dfdeee1b4bf9e,0,50083c006a3057151bde203706aa96c5
146123043,11,204,-88,dd644234cc307e42,0,50003a016a3057151bdef2823d9fb2b2
146141535,11,204,-88,dd644234cc307e42,0,50083a016a3057151bdef2823d9fb2b2
146160019,11,204,-89,dd644234cc307e42,0,50083a016a3057151bdef2823d9fb2b2
146178915,11,256,-92,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
146196993,11,249,-85,72184e28ab7e5384,0,80000000ffffffffffff203706aa96c2
146215485,11,197,-85,95a8f4c670d2c508,0,80000000ffffffffffff203706aa96c1
146233969,11,249,-86,7e17d63142a43844,0,80000000ffffffffffff203706aa96c3
146252458,11,242,-86,525dfdeee1b4bf9e,0,80000000ffffffffffff203706aa96c5
146270944,11,256,-89,795721b1a3baaa05,0,80000000ffffffffffff5e4449bf2c4f
146289435,11,204,-91,dd644234cc307e42,0,50003a010e8c2ebeb2a9f2823d9fb2b2
146307922,11,249,-86,72184e28ab7e5384,0,80000000ffffffffffff203706aa96c2
146369917,11,240,-91,0059a21c48775a6a,0,50003a0124e853873ebef2823d9fb2b3
146388400,11,240,-93,de44f3a3d4ded9ac,0,50003a0124e853873ebeb2823d9fb62f
146408002,11,225,-92,0e51ae9afebdbfd5,0,40000000ffffffffffff24e853873ebe
146425378,11,240,-93,de44f3a3d4ded9ac,0,50083a0124e853873ebeb2823d9fb62f
146443861,11,240,-91,0059a21c48775a6a,0,50083a0124e853873ebef2823d9fb2b3
146462352,11,240,-90,0059a21c48775a6a,0,50003a0124e853873ebef2823d9fb2b3
146480838,11,28,-86,295185d8d071adba,0,48012c005e4449bf2c4f72c2e70800b5
146499152,11,240,-91,0059a21c48775a6a,0,50083a0124e853873ebef2823d9fb2b3
146517645,11,240,-90,0059a21c48775a6a,0,50083a0124e853873ebef2823d9fb2b3
146536131,11,204,-90,dd644234cc307e42,0,50003a0124e853873ebef2823d9fb2b2
146554618,11,225,-91,0e51ae9afebdbfd5,0,40000000ffffffffffff24e853873ebe
146573106,11,240,-91,0059a21c48775a6a,0,50003a0124e853873ebef2823d9fb2b3
146592003,1,246,-80,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
146609902,1,250,-80,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
146628849,1,210,-90,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
146647162,1,246,-91,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
146665480,1,250,-90,e8c5cf156aff9e47,0,80000000fffffffffffff2823d9fb944
146683791,1,210,-79,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
146702105,1,246,-79,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
146720418,1,250,-79,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
146738735,1,197,-92,4c1e10d00a18f6b3,0,80000000ffffffffffff203706ab5e81
146757047,1,246,-91,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
146775827,1,106,-88,e8c5cf156aff9e47,0,884a540054f15f92554cf2823d9fb944
146793689,1,249,-92,720b2f74b4b0e00b,0,80000000ffffffffffff203706ab5e82
146811991,1,246,-89,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
146830302,1,250,-88,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
146848617,1,210,-87,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
146866931,1,211,-83,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
146885248,1,246,-82,073f5c892f09b077,0,80000000ffffffffffff32823d9fc367
146903559,1,250,-83,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
146921875,1,78,-74,8c6255171cd63f97,0,08020000ffffffffffff32823d9fc366
146940013,1,210,-89,a8da6782170c335b,0,80000000fffffffffffff2823d9fb942
146958792,1,249,-92,720b2f74b4b0e00b,0,80000000ffffffffffff203706ab5e82
146976641,1,219,-74,e47fedf811efad17,0,8841240032823d9fc36854f15f92542b
146994977,1,217,-74,8689b3dd5bb29e54,0,0842000001005e7ffffa32823d9fc368
147013270,1,210,-80,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
147031587,1,246,-87,ec0737fa706cfca5,0,80000000ffffffffffffb2823d9fb1d0
147049898,1,250,-88,8cbb08cc76c4731b,0,80000000ffffffffffffb2823d9fb1dc
147068213,1,210,-88,98240d6dced69540,0,80000000ffffffffffffb2823d9fb1dd
147086528,1,250,-81,8689b3dd5bb29e54,0,80000000ffffffffffff32823d9fc368
147104844,1,197,-90,4c1e10d00a18f6b3,0,80000000ffffffffffff203706ab5e81
147123154,1,246,-90,aea7d1ab30ae1e9d,0,80000000fffffffffffff2823d9fb943
147141874,1,242,-92,0d01f3119e6e8f3b,0,80000000ffffffffffff203706ab5e85
147159782,1,94,-75,073f5c892f09b077,0,0842000001000ccccccd32823d9fc367
147177926,1,135,-88,f1df5636b0f80300,0,40000000ffffffffffffd2c44c5f69d3
147196238,1,120,-89,154d07e0d3ecbdfc,0,40000000fffffffffffff6f467f75eac
147214560,1,204,-79,8c6255171cd63f97,0,50003a01f6f467f75eac32823d9fc366
147232867,1,204,-80,8c6255171cd63f97,0,50083a01f6f467f75eac32823d9fc366
147251184,1,204,-80,8c6255171cd63f97,0,50083a01f6f467f75eac32823d9fc366
147269494,1,210,-83,8c6255171cd63f97,0,80000000ffffffffffff32823d9fc366
